"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",631.94260697191,-0.191646629971388,0.237312731195158,-0.807569947917308,0.419338192577633,0.918539340516663
"A1CF",11.2711816945499,3.33304742157042,2.03325365838985,1.63926788367856,0.101157481585543,0.722628219036702
"A2M",54.039906818582,1.87672022988015,1.14320749242081,1.64162695076996,0.10066733882596,0.722610685135246
"A2ML1",0.374660683772517,0.122890911679947,4.24734619455607,0.0289335754729529,0.976917567469516,1
"A3GALT2",3.88911345107792,-0.355435742761854,1.48699534389706,-0.239029492742286,0.811082713591067,0.983669487005417
"A4GALT",3044.11622951962,-0.48588185155092,0.509114340110073,-0.95436685489132,0.339897977743668,0.893911716034547
"A4GNT",3.78394630685865,-0.234025410517582,1.76942393080348,-0.132260792025862,0.894778018306651,0.992756780437468
"AAAS",1619.73356823535,0.0440121692416204,0.168570023541245,0.261091315745421,0.79402208851286,0.979130322097833
"AACS",1560.61644053787,0.111477936231625,0.195068182490394,0.57148190344735,0.567673023859153,0.940603817628483
"AADAC",34.3758515803495,-1.17010627484067,0.773660029127557,-1.51242953078522,0.130424627125785,0.76690343744466
"AADACL3",0.0671682173245174,0,4.32804458550702,0,1,NA
"AADACL4",0.0652164694860222,0.780962194556406,4.32804458550702,0.180442271128988,0.856805371345258,NA
"AADAT",964.115202394197,0.314283855648077,0.196315885131374,1.60090894039349,0.109397089125173,0.735196281024279
"AAED1",379.892738413856,-0.33462282844794,0.410099359049882,-0.815955502157315,0.414525586317799,0.91603467769248
"AAGAB",4068.72942761894,0.0277010681996867,0.197120911286302,0.140528308330785,0.888242587592463,0.990897870741711
"AAK1",2398.60083277901,0.114081760357742,0.187019877821282,0.609998047730304,0.541863100807547,0.936341976171671
"AAMDC",635.607628278427,-0.18418510812586,0.259923039781411,-0.70861401236595,0.478564038370422,0.927130460022565
"AAMP",3183.76330392036,-0.207491458177401,0.123058064267045,-1.68612645919027,0.0917714446875846,0.700592512762455
"AANAT",1.06372526164915,-2.44441219860102,2.61283956631302,-0.935538572714718,0.349510814435151,0.897288048658313
"AAR2",2264.82970274377,-0.0832504356422527,0.132136450984595,-0.630033840185083,0.52867244398639,0.934286958172229
"AARD",6.47539619920365,0.690400007675161,1.26336890974031,0.546475382093322,0.584739205386056,0.943258076663869
"AARS",7443.91520961697,0.286605423095216,0.311879922103469,0.918960801202625,0.358116075631975,0.897288048658313
"AARS2",636.714902753647,0.123748521720693,0.193052916901167,0.641008298175807,0.521517291582333,0.933898844801335
"AARSD1",427.390819856321,0.125464209663035,0.124362487192852,1.00885896137212,0.313042279163564,0.880150137896832
"AASDH",4380.38301562951,-0.0161622898387062,0.179975831269298,-0.0898025569584538,0.928444116243579,0.998511707375144
"AASDHPPT",1962.51407735702,-0.0772942489342539,0.132435485072699,-0.583636997983011,0.559464562703945,0.93907365659406
"AASS",1142.95577109337,0.251756561076618,0.331486261301725,0.759478115587616,0.44756660043438,0.921936372364031
"AATF",1204.5060900603,-0.153160896305256,0.0884771070961291,-1.73107938688422,0.0834376062854988,0.688360251855365
"AATK",67.0902855767456,1.03552708711847,0.446890820476085,2.3171813778034,0.0204938535087688,0.493392357006515
"ABAT",492.31915139826,-0.0076068682669668,0.432194961782473,-0.0176005482238717,0.985957519325883,1
"ABCA1",2842.66361022905,0.421303384079066,0.39119240888538,1.07697228910827,0.28149264572151,0.868111753640672
"ABCA10",191.822406505732,-0.557706442766876,0.439169508725394,-1.26991157556797,0.204116129379856,0.822233102461367
"ABCA12",11.7481708449393,0.555421827207482,1.19990565276046,0.462887916170489,0.643444709476443,0.950999434265533
"ABCA13",60.3049333662344,1.00890593822963,0.932809584008915,1.0815775861711,0.279440268433636,0.86747273927879
"ABCA2",5217.77620375211,0.066473423495231,0.217730727702739,0.305301067040869,0.76013686332647,0.972146750455459
"ABCA3",37.9997900422325,1.56759742111138,0.716282203224283,2.18851929317101,0.0286317974776994,0.539894526644873
"ABCA4",2.7004795294778,0.56379262009965,1.60603784162801,0.351045663736131,0.725554090930396,0.966689950876553
"ABCA5",1563.67890646846,0.192496768237959,0.24297229196783,0.79225810761766,0.428210193093571,0.919553724507066
"ABCA6",1545.21031062839,0.222210167902136,0.401052897565434,0.554066980318678,0.579533006933494,0.942891386091461
"ABCA7",292.734418991685,-0.255024646413968,0.502397755949345,-0.507615018964537,0.611723355775062,0.948844517290494
"ABCA8",10912.9276752339,-0.99859831846927,0.494564470142009,-2.01914690350185,0.0434719530844473,0.609268263653959
"ABCA9",243.151598505738,-0.165183718637012,0.512603285734198,-0.32224475190482,0.747267284012591,0.971250115682416
"ABCB1",362.707769715646,-0.277242701372471,0.89241489295991,-0.310665704438132,0.756054771881675,0.97157264793851
"ABCB10",609.435577824943,-0.00761683565425259,0.196937606767874,-0.038676389843766,0.969148397496873,1
"ABCB11",0.415097410641429,-2.67320552077443,3.9470449125095,-0.677267571063646,0.49823620233169,0.927706649607892
"ABCB4",1137.29741987281,-0.0537092120027115,0.533896111003804,-0.100598620023154,0.91986909221235,0.996971723761401
"ABCB5",0.58647933320536,-2.35169800831744,4.26890139606664,-0.550890683604051,0.581708614330262,0.942891386091461
"ABCB6",1223.89673400075,0.129453356271495,0.293454275142564,0.441136378771804,0.6591142684421,0.952041352517848
"ABCB7",2039.03584425569,0.130892162062578,0.155841594334049,0.839905178215831,0.400961554038845,0.910282185035974
"ABCB8",2550.99267413227,-0.0910312346331617,0.129515997173153,-0.702857072639912,0.482144825562135,0.927130460022565
"ABCB9",1159.52282616197,0.043048519738877,0.25325507757408,0.169980875215759,0.865025177132001,0.989771849561272
